ano_mes,forma_pagamento,quantidade,valor
2009-01,TED,5219.55,589958.75
2009-02,Boleto,119437.06,123039.66
2009-02,Cheque,94036.56,79798.77
2009-02,DOC,11555.78,11763.19
2009-02,Pix,0.0,0.0
2009-02,TEC,72.27,80.05
2009-02,TED,4907.72,498197.41
2009-03,Boleto,135587.77,142459.92
2009-03,Cheque,111737.19,95691.56
2009-03,DOC,13619.12,13700.91
2009-03,Pix,0.0,0.0
2009-03,TEC,86.58,94.39
2009-03,TED,5996.69,614724.2
2009-04,Boleto,132027.77,139601.79
2009-04,Cheque,101003.25,88636.61
2009-04,DOC,13506.36,13305.45
2009-04,Pix,0.0,0.0
2009-04,TEC,93.54,105.93
2009-04,TED,6147.35,604776.79
2009-05,Boleto,126388.56,131694.69
2009-05,Cheque,99195.73,86005.15
2009-05,DOC,13241.14,13146.2
2009-05,Pix,0.0,0.0
2009-05,TEC,104.41,115.27
2009-05,TED,5982.33,589615.4
2009-06,Boleto,138376.77,146660.51
2009-06,Cheque,104149.98,92278.25
2009-06,DOC,15189.46,14776.59
2009-06,Pix,0.0,0.0
2009-06,TEC,118.06,133.7
2009-06,TED,6199.9,645775.63
2009-07,Boleto,138734.44,146004.79
2009-07,Cheque,105031.39,92956.25
2009-07,DOC,15617.23,15553.4
2009-07,Pix,0.0,0.0
2009-07,TEC,132.52,148.45
2009-07,TED,6549.27,653905.42
2009-08,Boleto,137744.07,148417.16
2009-08,Cheque,98241.52,87739.99
2009-08,DOC,14530.9,14303.91
2009-08,Pix,0.0,0.0
2009-08,TEC,136.99,150.42
2009-08,TED,6168.74,613640.29
2009-09,Boleto,137285.98,150710.69
2009-09,Cheque,101391.71,89662.23
2009-09,DOC,14628.29,14574.82
2009-09,Pix,0.0,0.0
2009-09,TEC,142.23,160.76
2009-09,TED,6296.8,652120.74
2009-10,Boleto,141913.41,155433.43
2009-10,Cheque,102012.48,93131.86
2009-10,DOC,16509.37,16094.57
2009-10,Pix,0.0,0.0
2009-10,TEC,156.57,178.07
2009-10,TED,6517.69,682989.33
2009-11,Boleto,141078.58,158290.22
2009-11,Cheque,98409.81,90224.77
2009-11,DOC,16644.73,16286.59
2009-11,Pix,0.0,0.0
2009-11,TEC,219.69,242.37
2009-11,TED,6441.22,661257.48
2009-12,Boleto,148286.57,167948.64
2009-12,Cheque,110104.5,98795.5
2009-12,DOC,18711.64,18371.96
2009-12,Pix,0.0,0.0
2009-12,TEC,272.11,289.52
2009-12,TED,7287.3,796196.3
2010-01,Boleto,134034.99,151244.64
2010-01,Cheque,88307.69,83968.13
2010-01,DOC,14271.96,14604.97
2010-01,Pix,0.0,0.0
2010-01,TEC,179.67,204.91
2010-01,TED,6300.64,641293.77
2010-02,Boleto,132531.34,143732.52
2010-02,Cheque,85861.81,80062.1
2010-02,DOC,13701.31,13775.74
2010-02,Pix,0.0,0.0
2010-02,TEC,184.5,209.06
2010-02,TED,6129.02,595672.64
2010-03,Boleto,155779.53,176688.33
2010-03,Cheque,103296.21,99210.39
2010-03,DOC,16411.17,16707.74
2010-03,Pix,0.0,0.0
2010-03,TEC,195.7,228.04
2010-03,TED,7592.77,759814.19
2010-04,Boleto,145113.49,164958.58
2010-04,Cheque,91287.0,89204.08
